Name,Notes,Subtask of
Theme Setup,"Umbrella. Foundational theme work — do first; everything else reads from it. Spec: PORTING.md (Theme Setup).",
Design tokens (THM-tokens),"Color palette, type scale, spacing, layout widths, shadows, motion -> theme.json settings. Build first. Source: _tokens.css (1-104). Spec: PORTING.md THM-tokens.",Theme Setup
Core-block base styles (THM-coreblocks),"Styles for core blocks (paragraph, list, quote, table, details, media-text) -> theme.json styles.blocks.* (Elements tier). Source: _tokens.css (402-632). Spec: PORTING.md THM-coreblocks.",Theme Setup
Shared style primitives (STY),"Theme-owned classes used across many pieces (.card, .card-link, fade-up reveal, button variations, section type, .link-arrow, red rule). Consumers emit the class; never restyle. Build early - dependency of every card/section. Spec: PORTING.md STY.",Theme Setup
Berry decor (THM-berry),"Decorative berry/leaf flourish - theme style + asset, applied on homepage. Not a block/pattern. Source: berry-decor. Spec: PORTING.md THM-berry.",Theme Setup
"Site header, UGA bar + masthead (PART-header)","Header template part: UGA global bar + masthead (BLK-brand + BLK-nav mega-menu + core Search). Depends on: BLK-brand, BLK-nav. Source: uga-global-bar, top-nav. Spec: PORTING.md PART-header.",Theme Setup
"Site footer, CAES + UGA (PART-footer)","Footer template part: CAES footer (BLK-brand dark + social + 6 link cols) + BLK-uga-footer. Depends on: BLK-brand, BLK-uga-footer. Source: caes-footer, uga-footer. Spec: PORTING.md PART-footer.",Theme Setup
Templates,"Umbrella. Block-theme templates. Depend on Theme Setup (chrome/styles) and Program CPT (program templates). Spec: PORTING.md (Templates).",
Homepage (TPL-home),"Landing-page template = Header part + post-content (full-width) + Footer part. Front page = static Page in the normal editor; header/footer locked. Seed with a homepage starter pattern. Source: homepage.html. Spec: PORTING.md TPL-home.",Templates
Interior-page template (TPL-interior),"Shared interior template (Academics landing, Interior page): locked top (breadcrumbs + faded featured image) -> editable post-content -> footer. Interior video = uga-caes/embed. Source: academics.html, interior-page. Spec: PORTING.md TPL-interior.",Templates
Interior + sidebar (TPL-interior-sidebar),"Interior template variant + sibling-page sidebar rail = BLK-nav (section-rail). Depends on: TPL-interior, BLK-nav. Source: interior-page-sidebar. Spec: PORTING.md TPL-interior-sidebar.",Templates
Degrees & Programs (TPL-programs-archive),"Archive template for the program CPT: header + BLK-program-search (faceted search is its own block, not a Query loop). Depends on: Program CPT, BLK-program-search. Source: programs. Spec: PORTING.md TPL-programs-archive.",Templates
Program detail (TPL-program-single),"Single-program template: header pattern (CPT fields) + bands + outcome bars + advisors + scroll-spy subnav (BLK-on-page-nav). Advisors = MOD-personnel cards. Depends on: Program CPT. Source: program-detail. Spec: PORTING.md TPL-program-single.",Templates
Directory (TPL-directory),"Unique template; faceted people list via MOD-personnel (CAES personnel DB). Source: directory. Spec: PORTING.md TPL-directory.",Templates
Experts (TPL-experts),"Unique template; expertise view via MOD-personnel (same DB). Source: experts. Spec: PORTING.md TPL-experts.",Templates
Patterns,"Umbrella. Theme patterns of core blocks (+ referenced plugin blocks). Editor-insertable layouts. Spec: PORTING.md (Patterns).",
Announcement bar (PAT-announce),"Static pattern (place in a template part). Dismiss behavior dropped. Source: announcement. Spec: PORTING.md PAT-announce.",Patterns
Impact mosaic (PAT-mosaic),"Pattern of core blocks, classes pre-baked. No JS: stretched-link = CSS utility; fade-up = CSS scroll-driven. Source: impact-mosaic. Spec: PORTING.md PAT-mosaic.",Patterns
Read all about (PAT-read-about),"Static pattern (full-bleed red strip, oversized italic lockup). Source: read-all-about. Spec: PORTING.md PAT-read-about.",Patterns
Cards - narrative variant (PAT-cards-narrative),"Card pattern, narrative visual variation (tag/title/body). Low-structure. Source: phase-cards. Spec: PORTING.md PAT-cards-narrative.",Patterns
Cards - linked variant (PAT-cards-linked),"Card pattern, linked visual variation (title/copy/link). Used in program-detail's Paying-for-College band. Source: info-cards. Spec: PORTING.md PAT-cards-linked.",Patterns
Cards - numbered variant (PAT-cards-numbered),"Card pattern, numbered visual variation (big number on top + body). CPT-driven version rendered by BLK-program-fields. Source: program-detail (pd3-prep-card). Spec: PORTING.md PAT-cards-numbered.",Patterns
FAQ (PAT-faq),"Core details block + pattern (heading + stacked details). Single-open dropped. Source: faq. Spec: PORTING.md PAT-faq.",Patterns
Closing CTA (PAT-closing-cta),"Static pattern (Ready to grow your future?): heading + red rule + copy + dual core Buttons. Source: closing-cta. Spec: PORTING.md PAT-closing-cta.",Patterns
Plugin blocks (new),"Umbrella. New uga-caes/ server-rendered blocks. Minimal structural CSS; look comes from theme tokens. Spec: PORTING.md (Plugin blocks).",
Brand / logo lockup (BLK-brand),"New uga-caes/brand - CAES lockup. Bundled logo enum (CAES, UGA wordmark; Extension later); variant attr (light/dark/mono) via tokens. Template-part only. Build before PART-header/PART-footer. Source: _shared.jsx. Spec: PORTING.md BLK-brand.",Plugin blocks (new)
Navigation (BLK-nav),"New uga-caes/navigation; modes mega-menu (site nav) and section-rail (hierarchy-aware). Server-rendered; mobile collapse built in; template-part only. Source: _shared.jsx (CollapsibleNav). Spec: PORTING.md BLK-nav.",Plugin blocks (new)
Hero carousel (BLK-hero),"New uga-caes/hero-carousel - build as a carousel (demo is single hero). Model on caes-hub hero. Photo is background-image. Source: hero. Spec: PORTING.md BLK-hero.",Plugin blocks (new)
